variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
818239	Rhizoplane	Day_After_Germination	-0.012258586935060477	0.0035230171772202916	-3.4795705835112245	6.698409207551026e-4	0.03617140972077554	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified	Betaproteobacteria
3257079	Rhizoplane	Day_After_Germination	-0.005029516068855961	9.408473814976856e-4	-5.345729995921058	3.570420942464402e-7	1.928027308930777e-5	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	unclassified	Betaproteobacteria
1131357	Rhizoplane	Day_After_Germination	-0.003761379129122962	8.940467263834088e-4	-4.2071393117655775	4.594513737098041e-5	0.002481037418032942	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
731748	Rhizoplane	Day_After_Germination	-0.0035921890638427045	5.28335497697739e-4	-6.799068166905184	2.8039888007108326e-10	1.5141539523838496e-8	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
876957	Rhizoplane	Day_After_Germination	0.016115060723354755	0.001828073351406956	8.815325003754351	4.206646100260616e-15	2.2715888941407325e-13	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
4302412	Rhizoplane	Day_After_Germination	0.0030504548895155027	4.588060510183614e-4	6.648680597705159	6.119026674778212e-10	3.304274404380234e-8	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria
4308730	Rhizoplane	Day_After_Germination	0.0025155174643143726	5.880916944858013e-4	4.277423891377718	3.481409987658878e-5	0.0018799613933357941	Increasing	Increasing	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified	Bacteroidetes
4312335	Rhizoplane	Day_After_Germination	0.0036764219148069134	0.0030577159487754526	1.2023425250730824	0.23126049396050705	1	Increasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
4315253	Rhizoplane	Day_After_Germination	-0.008599631993499031	0.0011984507257204783	-7.175624169553696	3.8384785109706345e-11	2.0727783959241427e-9	Decreasing	Decreasing	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	unclassified	unclassified	Deltaproteobacteria
4354706	Rhizoplane	Day_After_Germination	0.017685323412735425	0.0015316616768864767	11.546494685879786	4.391617547675461e-22	2.3714734757447488e-20	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	putealis	Deltaproteobacteria
