variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
805785	Rhizosphere	Day_After_Germination	0.003531528878990223	3.209812356174033e-4	11.002290748234463	1.1214179408847081e-20	6.055656880777424e-19	Increasing	Increasing	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	unclassified	unclassified	Gammaproteobacteria
751207	Rhizosphere	Day_After_Germination	-0.01784141527928554	0.0016207674539025043	-11.008004409470805	1.0839477865707016e-20	5.853318047481788e-19	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
876957	Rhizosphere	Day_After_Germination	0.00897772067607213	7.068981815205231e-4	12.700160943632989	4.579209700525268e-25	2.4727732382836447e-23	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
4017244	Rhizosphere	Day_After_Germination	0.0035594654440306217	7.863836114871617e-4	4.526372869469105	1.271110488131121e-5	6.863996635908053e-4	Increasing	Increasing	Bacteria	Spirochaetes	[Leptospirae]	[Leptospirales]	Leptospiraceae	Turneriella	unclassified	Spirochaetes
4312443	Rhizosphere	Day_After_Germination	-0.007609762247144066	0.0010666092363343187	-7.134536236810589	4.779548751184805e-11	2.5809563256397946e-9	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
4314525	Rhizosphere	Day_After_Germination	-0.00219809981349458	4.3042132376295054e-4	-5.106856217711829	1.0513428991120863e-6	5.6772516552052656e-5	Decreasing	Decreasing	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloramator	unclassified	Firmicutes
4315253	Rhizosphere	Day_After_Germination	-0.004540506286757018	5.954686098588783e-4	-7.625097631650281	3.3717149602111157e-12	1.8207260785140024e-10	Decreasing	Decreasing	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	unclassified	unclassified	Deltaproteobacteria
4320368	Rhizosphere	Day_After_Germination	-0.004943614739132076	7.229158698487414e-4	-6.838437147833604	2.2828193132270838e-10	1.2327224291426252e-8	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
4328907	Rhizosphere	Day_After_Germination	-0.003155894139615962	4.8806288304550785e-4	-6.466162966385011	1.5597923172801706e-9	8.422878513312922e-8	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
4359270	Rhizosphere	Day_After_Germination	-0.0056098228440590045	8.104397068503774e-4	-6.92194964861795	1.4731583197417536e-10	7.955054926605469e-9	Decreasing	Decreasing	Bacteria	Gemmatimonadetes	Gemmatimonadetes	KD8-87	unclassified	unclassified	unclassified	Gemmatimonadetes
4365790	Rhizosphere	Day_After_Germination	0.0041175857432599544	6.062104606960513e-4	6.7923370021232214	2.9041652347936565e-10	1.5682492267885746e-8	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified	Betaproteobacteria
4378777	Rhizosphere	Day_After_Germination	0.0037719110642544153	4.064986660662625e-4	9.27902445721572	2.8892965037277288e-16	1.5602201120129735e-14	Increasing	Increasing	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	unclassified	unclassified	unclassified	Verrucomicrobia
4389607	Rhizosphere	Day_After_Germination	0.012000062742227525	0.0010536828892292606	11.38868521534523	1.1242975156712685e-21	6.07120658462485e-20	Increasing	Increasing	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Bacteroidetes
4414951	Rhizosphere	Day_After_Germination	-0.013989208157101248	0.0016685731835074152	-8.383934426954717	4.9178516754236545e-14	2.6556399047287736e-12	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
4429445	Rhizosphere	Day_After_Germination	-0.008227401403595035	8.71715866027366e-4	-9.438168701792046	1.1442272741835523e-16	6.1788272805911826e-15	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
4451302	Rhizosphere	Day_After_Germination	-0.0037466874135155055	5.839524018960633e-4	-6.41608357350737	2.011832641083104e-9	1.0863896261848761e-7	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
4453710	Rhizosphere	Day_After_Germination	-0.023803646644406765	0.0020930263534282775	-11.37283656530054	1.2355945971440714e-21	6.672210824577985e-20	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	unclassified	Betaproteobacteria
4481956	Rhizosphere	Day_After_Germination	0.01343857308129431	8.284790831908042e-4	16.220775338753263	5.86373778809129e-34	3.166418405569297e-32	Increasing	Increasing	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Bacteroidetes
1107608	Endosphere	Day_After_Germination	0.0032975864391237312	0.0012019490678793004	2.7435325898974567	0.006868280523742168	0.3708871482820771	Increasing	Neutral	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Deltaproteobacteria
909520	Endosphere	Day_After_Germination	0.012951363323139588	0.0024261250493707166	5.338291744895378	3.6625121333459717e-7	1.9777565520068248e-5	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified	Deltaproteobacteria
798634	Endosphere	Day_After_Germination	-0.02521444429383522	0.0022697146876528972	-11.10908099198555	5.467402964783812e-21	2.952397600983258e-19	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
575562	Endosphere	Day_After_Germination	-0.014384274634755131	0.0016292121193257608	-8.828975959685332	3.72396508909241e-15	2.0109411481099012e-13	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	unclassified	Betaproteobacteria
567841	Endosphere	Day_After_Germination	0.0038064109750150237	5.550100483152567e-4	6.858273983632286	2.0172475614731415e-10	1.0893136831954964e-8	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	[Entotheonellales]	unclassified	unclassified	unclassified	Deltaproteobacteria
565744	Endosphere	Day_After_Germination	0.01812770386941357	0.0017185334618666545	10.54835664923477	1.546052734100105e-19	8.348684764140566e-18	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
557756	Endosphere	Day_After_Germination	-6.324366210851398e-4	0.0022303460026170375	-0.2835598693400275	0.7771636246849412	1	Decreasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax	unclassified	Betaproteobacteria
555887	Endosphere	Day_After_Germination	0.016832009008756317	0.001615642300918057	10.418153200861267	3.3519556794170153e-19	1.8100560668851883e-17	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
554299	Endosphere	Day_After_Germination	-0.0012275614332215555	7.310552846488735e-4	-1.6791636132021868	0.09533483164930336	1	Decreasing	Neutral	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified	Alphaproteobacteria
530377	Endosphere	Day_After_Germination	-0.004958463933120645	6.788029669729721e-4	-7.304717531262758	1.8745849217133933e-11	1.0122758577252323e-9	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
373070	Endosphere	Day_After_Germination	0.00752281362043343	0.001117972386180237	6.72897981508876	3.9633379191556904e-10	2.1402024763440728e-8	Increasing	Increasing	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	unclassified	unclassified	Acidobacteria
351875	Endosphere	Day_After_Germination	-0.004768658593044752	6.687036558232278e-4	-7.131198628148892	4.75701055117032e-11	2.5687856976319726e-9	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
307872	Endosphere	Day_After_Germination	0.0041259460957895734	5.191506763240947e-4	7.947492479454718	5.513179692005209e-13	2.977117033682813e-11	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	[Entotheonellales]	unclassified	unclassified	unclassified	Deltaproteobacteria
254954	Endosphere	Day_After_Germination	0.0014244538349259992	0.0010181413715118846	1.3990727366384912	0.16398712000907892	1	Increasing	Neutral	Bacteria	Acidobacteria	Acidobacteria-6	CCU21	unclassified	unclassified	unclassified	Acidobacteria
245713	Endosphere	Day_After_Germination	0.00015436169241562329	0.0010575303101947155	0.14596431981907146	0.8841580249095478	1	Increasing	Neutral	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified	Bacteroidetes
234790	Endosphere	Day_After_Germination	0.02269742136390968	0.0018918336980279051	11.99757747605936	2.701155194743118e-23	1.4586238051612837e-21	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	mexicanus	Deltaproteobacteria
234236	Endosphere	Day_After_Germination	0.03353844284153325	0.0026554721740900704	12.62993571116052	6.19160414716163e-25	3.3434662394672804e-23	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
219243	Endosphere	Day_After_Germination	0.00546444329262083	0.0011259315897610173	4.8532640369213516	3.178682006600909e-6	1.716488283564491e-4	Increasing	Increasing	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified	unclassified	unclassified	Bacteroidetes
213772	Endosphere	Day_After_Germination	2.2645284517470467e-4	3.315427769212606e-4	0.6830275335133777	0.49571019317002774	1	Increasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Betaproteobacteria
195864	Endosphere	Day_After_Germination	0.01667149546710292	0.002340025198156066	7.1244939927313675	4.930342317517712e-11	2.6623848514595647e-9	Increasing	Increasing	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified	Actinobacteria
178053	Endosphere	Day_After_Germination	0.009707612516505565	0.0010985945457489643	8.836392419814375	3.568322778649341e-15	1.926894300470644e-13	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria
174873	Endosphere	Day_After_Germination	-0.0031924021321976083	0.0017787925046252931	-1.7947018125478864	0.07484353941693721	1	Decreasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
166838	Endosphere	Day_After_Germination	-0.0012948667801203938	0.0011457227165632613	-1.1301746586682935	0.26032149489249057	1	Decreasing	Neutral	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax	unclassified	Betaproteobacteria
152949	Endosphere	Day_After_Germination	-4.1392236833168877e-4	3.8354575402286406e-4	-1.0791994540161534	0.2823414736088454	1	Decreasing	Neutral	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified	Deltaproteobacteria
146676	Endosphere	Day_After_Germination	0.0019064233045160113	3.0092562784187453e-4	6.3351975642226375	2.9822002169645396e-9	1.6103881171608514e-7	Increasing	Increasing	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	unclassified	Alphaproteobacteria
144821	Endosphere	Day_After_Germination	0.0436616057728195	0.002810506957533702	15.535135273649624	2.4094642945656212e-32	1.3011107190654355e-30	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
144545	Endosphere	Day_After_Germination	-0.03819532291297733	0.0017188003429115496	-22.22208243703084	6.505381806509279e-48	3.51290617551501e-46	Decreasing	Decreasing	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified	Chloroflexi
141172	Endosphere	Day_After_Germination	0.007687286811516535	8.72606918535325e-4	8.809564361946252	4.164049866554982e-15	2.24858692793969e-13	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified	Betaproteobacteria
73954	Endosphere	Day_After_Germination	0.004101701125583007	5.941846599867949e-4	6.903074754023711	1.5941395746490104e-10	8.608353703104656e-9	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	mexicanus	Deltaproteobacteria
6955	Endosphere	Day_After_Germination	-0.014830596617751594	0.001596121726748397	-9.291645097748487	2.552645789470874e-16	1.3784287263142718e-14	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
4386	Endosphere	Day_After_Germination	0.008555672677112965	9.374529587766524e-4	9.12650879920189	6.669318306955561e-16	3.6014318857560026e-14	Increasing	Increasing	Bacteria	Spirochaetes	[Leptospirae]	[Leptospirales]	Leptospiraceae	Leptonema	unclassified	Spirochaetes
816501	Endosphere	Day_After_Germination	0.02645281683656451	0.0022759836412246446	11.62258654123321	2.5418293514645283e-22	1.3725878497908453e-20	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
1954099	Endosphere	Day_After_Germination	0.009081790517458098	0.0013896175096525976	6.535460624505611	1.0765968615523492e-9	5.813623052382686e-8	Increasing	Increasing	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	unclassified	Gammaproteobacteria
699114	Endosphere	Day_After_Germination	0.003285577046680853	6.382871022936369e-4	5.1474908937911765	8.701348581479717e-7	4.6987282339990474e-5	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Deltaproteobacteria
1121134	Endosphere	Day_After_Germination	0.002779324061779549	5.202656132492895e-4	5.342125235649225	3.598680648983402e-7	1.943287550451037e-5	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Deltaproteobacteria
831419	Endosphere	Day_After_Germination	-0.03661365283770592	0.0031516738331146613	-11.617208752062472	2.6248802897347314e-22	1.4174353564567548e-20	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
2866157	Endosphere	Day_After_Germination	0.020299020554922474	0.0014357055221944097	14.138707583917597	8.124921847735539e-29	4.387457797777191e-27	Increasing	Increasing	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	unclassified	Spirochaetes
2996648	Endosphere	Day_After_Germination	0.00290270629752383	3.5341341956646546e-4	8.21334487265537	1.242805397564528e-13	6.711149146848451e-12	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria
1114798	Endosphere	Day_After_Germination	-0.004755368626105854	6.620805380071588e-4	-7.182462484729367	3.616456737723858e-11	1.9528866383708833e-9	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified	Betaproteobacteria
876957	Endosphere	Day_After_Germination	0.020579233307095726	0.001924005127232012	10.696038703754514	6.419947516909631e-20	3.4667716591312008e-18	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Betaproteobacteria
4302412	Endosphere	Day_After_Germination	0.006715375593878487	7.400858323029685e-4	9.07377941958686	9.055163873838566e-16	4.8897884918728256e-14	Increasing	Increasing	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria
4317516	Endosphere	Day_After_Germination	0.0036509172062013096	9.29131694734619e-4	3.9293861428805243	1.3289065540796118e-4	0.007176095392029904	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	unclassified	unclassified	Deltaproteobacteria
